dirName,fileName,Flag
PaymentTransactions,ChargeCreditCard,0
PaymentTransactions,AuthorizeCreditCard,0
PaymentTransactions,CapturePreviouslyAuthorizedgetAmount,0
PaymentTransactions,CaptureFundsAuthorizedThroughAnotherChannel,0
PaymentTransactions,RefundTransaction,0
PaymentTransactions,VoidTransaction,0
PaymentTransactions,UpdateSplitTenderGroup,0
PaymentTransactions,DebitBankAccount,0
PaymentTransactions,CreditBankAccount,0
PaymentTransactions,ChargeCustomerProfile,0
PaymentTransactions,ChargeEncryptedTrackData,0
PaymentTransactions,ChargeTokenizedCreditCard,0
PaymentTransactions,ChargeTrackData,0
PaymentTransactions,GetAnAcceptPaymentPage,0
MobileIn-AppTransactions,CreateAnAcceptTransaction,0
MobileIn-AppTransactions,CreateAnApplePayTransaction,0
MobileIn-AppTransactions,CreateAnAndroidPayTransaction,0
VisaCheckout,DecryptVisaCheckoutData,0
VisaCheckout,CreateVisaCheckoutTransaction,0
PayPalExpressCheckout,PayPalAuthorizeOnly,0
PayPalExpressCheckout,PayPalAuthorizeCapture,0
PayPalExpressCheckout,PayPalGetDetails,0
PayPalExpressCheckout,PayPalAuthorizeOnlyContinue,0
PayPalExpressCheckout,PayPalPriorAuthorizationCapture,0
PayPalExpressCheckout,PayPalAuthorizeCaptureContinue,0
PayPalExpressCheckout,PayPalCredit,0
PayPalExpressCheckout,PayPalVoid,1
FraudManagement,UpdateHeldTransaction,0
FraudManagement,GetHeldTransactionList,0
RecurringBilling,CreateSubscription,0
RecurringBilling,CreateSubscriptionFromCustomerProfile,0
RecurringBilling,GetSubscription,0
RecurringBilling,GetSubscriptionStatus,0
RecurringBilling,UpdateSubscription,0
RecurringBilling,CancelSubscription,
RecurringBilling,GetListOfSubscriptions,0
CustomerProfiles,CreateCustomerProfile,0
CustomerProfiles,GetCustomerProfile,0
CustomerProfiles,GetCustomerProfileIds,0
CustomerProfiles,UpdateCustomerProfile,0
CustomerProfiles,DeleteCustomerProfile,0
CustomerProfiles,CreateCustomerPaymentProfile,0
CustomerProfiles,GetCustomerPaymentProfile,0
CustomerProfiles,GetCustomerPaymentProfileList,0
CustomerProfiles,ValidateCustomerPaymentProfile,0
CustomerProfiles,UpdateCustomerPaymentProfile,0
CustomerProfiles,DeleteCustomerPaymentProfile,0
CustomerProfiles,CreateCustomerShippingAddress,0
CustomerProfiles,GetCustomerShippingAddress,0
CustomerProfiles,UpdateCustomerShippingAddress,0
CustomerProfiles,DeleteCustomerShippingAddress,0
CustomerProfiles,CreateCustomerProfileFromTransaction,0
CustomerProfiles,GetAcceptCustomerProfilePage,0
TransactionReporting,GetSettledBatchList,0
TransactionReporting,GetTransactionList,0
TransactionReporting,GetUnsettledTransactionList,0
TransactionReporting,GetTransactionDetails,0
TransactionReporting,GetBatchStatistics,0
TransactionReporting,GetMerchantDetails,0
TransactionReporting,GetAccountUpdaterJobDetails,0
TransactionReporting,GetAccountUpdaterJobSummary,0
AcceptSuite,CreateAnAcceptTransaction,0
AcceptSuite,GetAcceptCustomerProfilePage,0
AcceptSuite,GetAnAcceptPaymentPage,0
